Days Since Servicing,Warranty Status,Days Since Purchase,Company,Status
145.0,True,546.0,1,No servicing required
299.0,False,910.0,2,Delay for servicing
720.0,True,878.0,3,Urgent Servicing Required
66.0,False,427.0,3,No servicing required
553.0,False,923.0,1,Delay for servicing
530.0,False,558.0,1,Service required soon
27.0,True,699.0,2,No servicing required
322.0,True,433.0,4,No servicing required
129.0,True,956.0,1,Urgent Servicing Required
487.0,True,791.0,3,Service required soon
146.0,True,169.0,2,Perfect
264.0,True,310.0,3,Perfect
148.0,True,301.0,1,Perfect
159.0,True,471.0,3,No servicing required
589.0,True,831.0,4,Urgent Servicing Required
61.0,False,272.0,1,Perfect
12.0,True,49.0,2,Perfect
561.0,False,796.0,2,Urgent Servicing Required
243.0,True,436.0,4,No servicing required
549.0,True,883.0,3,Urgent Servicing Required
344.0,True,698.0,4,No servicing required
518.0,True,874.0,3,Urgent Servicing Required
207.0,True,883.0,3,Service required soon
252.0,True,431.0,3,No servicing required
34.0,True,395.0,1,Perfect
872.0,False,948.0,2,Ground
323.0,True,530.0,4,No servicing required
697.0,True,883.0,1,Urgent Servicing Required
658.0,False,809.0,1,Urgent Servicing Required
405.0,True,959.0,4,Delay for servicing
531.0,True,810.0,4,Urgent Servicing Required
30.0,False,315.0,1,Perfect
87.0,False,424.0,2,No servicing required
138.0,False,892.0,4,Urgent Servicing Required
389.0,False,549.0,1,No servicing required
260.0,True,539.0,4,No servicing required
99.0,False,465.0,3,No servicing required
56.0,True,610.0,2,No servicing required
123.0,True,568.0,4,No servicing required
151.0,True,543.0,4,No servicing required
250.0,True,627.0,3,No servicing required
182.0,False,217.0,2,Perfect
737.0,True,995.0,1,Delay for servicing
728.0,True,991.0,2,Delay for servicing
913.0,False,988.0,2,Ground
175.0,True,338.0,3,Perfect
916.0,True,976.0,2,Delay for servicing
422.0,True,839.0,4,Urgent Servicing Required
247.0,False,877.0,4,Urgent Servicing Required
415.0,True,730.0,3,Service required soon
598.0,True,722.0,1,Service required soon
277.0,True,706.0,2,No servicing required
730.0,True,924.0,3,Delay for servicing
613.0,True,690.0,2,Service required soon
211.0,True,329.0,3,Perfect
627.0,False,637.0,4,Service required soon
537.0,False,750.0,2,Urgent Servicing Required
30.0,True,821.0,3,Service required soon
146.0,False,767.0,2,Service required soon
344.0,False,984.0,1,Delay for servicing
111.0,False,175.0,1,Perfect
12.0,True,125.0,2,Perfect
248.0,True,960.0,3,Urgent Servicing Required
11.0,True,357.0,3,Perfect
85.0,False,968.0,3,Delay for servicing
387.0,True,815.0,2,Service required soon
591.0,True,751.0,1,Service required soon
649.0,True,915.0,4,Delay for servicing
386.0,False,399.0,1,No servicing required
194.0,True,955.0,1,Urgent Servicing Required
519.0,True,618.0,4,No servicing required
